#1|lemma	meta|date	meta|lang_area	count
Gertlein	1662	obd	2
Blättchen	1793	NA	2
Blättchen	1843	NA	2
Röhrlein	1603	md	2
Deckblättchen	1860	NA	2
Gläschen	1828	NA	2
Säcklein	1603	md	2
Blättlein	1696	NA	2
Teiglein	1532	md	2
Kuchen	1774	NA	2
Maiblümlein	1588	obd	2
Hühnlein	1557	md	2
Knöpflein	1557	md	2
Knöpflein	1696	NA	2
Knöpflein	1719	NA	2
Büchlein	1588	obd	2
Schifflein	1532	md	2
Stabwurz-Männlein	1675	NA	2
Häuptlein	1662	obd	2
Zitterschen	1532	md	2
Peterlein	1687	obd	2
Tröpflein	1603	md	2
Scheiblein	1603	md	2
Mausöhrlein	1543	md	2
Täschlein	1543	md	2
Täschlein	1563	md	2
Täschlein	1696	NA	2
Stämmchen	1860	NA	2
Stengelein	1532	md	2
Stöcklein	1539	md	2
Desgleichen	1532	md	2
Kinderlein	1588	obd	1
Zünglein	1532	md	1
Zünglein	1543	md	1
Zünglein	1557	md	1
Zünglein	1828	NA	1
Bläschen	1792	NA	1
Bläschen	1840	NA	1
Brühlein	1673	NA	1
Würmlein	1539	md	1
Würmlein	1543	md	1
Würmlein	1735	NA	1
Seitenstechen	1735	NA	1
Seitenstechen	1828	NA	1
Seitenstechen	1914	NA	1
Samenhäuschen	1828	NA	1
Goldwürmlein	1543	md	1
Granatenbäumlein	1557	md	1
Zweieimerfässchen	1828	NA	1
Erstlichen	1603	md	1
Blätterlein	1482	obd	1
Knödlein	1652	md	1
Erlenbüschen	1652	md	1
Straussfederlein	1532	md	1
Schötlein	1652	md	1
Tüchlein	1539	md	1
Tüchlein	1550	NA	1
Tüchlein	1719	NA	1
Tüchlein	1487	obd	1
Tüchlein	1828	NA	1
Tüchlein	1588	obd	1
Tüchlein	1914	NA	1
Wundkräutlein	1557	md	1
Stämmlein	1639	obd	1
Härlein	1588	obd	1
Nebenwürzlein	1557	md	1
Nebenzinklein	1539	md	1
Nebenzinklein	1557	md	1
Berlinischen	1722	NA	1
Benehmungsteilchen	1719	NA	1
Letschen	1550	NA	1
Weiberchen	1735	NA	1
Schüppchen	1887	NA	1
Quentchen	1914	NA	1
Fittichen	1532	md	1
Martialischen	1735	NA	1
Gleichlein	1543	md	1
Haarlein	1532	md	1
Butterbletschen	1870	NA	1
Zuckergläschen	1722	NA	1
Bläslein	1870	NA	1
Samenhäuslein	1675	NA	1
Samenhäuslein	1828	NA	1
Blumblättchen	1764	NA	1
Waldbächen	1874	NA	1
Herzgrüblein	1675	NA	1
Schöttlein	1652	md	1
Nebenäderlein	1557	md	1
Seitenblättchen	1870	NA	1
Samenkörnlein	1750	NA	1
Bürdlein	1543	md	1
Nelklein	1673	NA	1
Nelklein	1828	NA	1
Leinentüchlein	1539	md	1
Leinentüchlein	1563	md	1
Leinentüchlein	1603	md	1
Leinentüchlein	1673	NA	1
Leinentüchlein	1487	obd	1
Blutäderlein	1735	NA	1
Würzelchen	1792	NA	1
