#1|lemma	count
Kämmlein	1
Labaschen	1
Äuglein	1
Kännlein	1
Laugenschäfflein	1
Fläschchen	1
Nestlein	1
Neuhochdeutschen	1
Herzstechen	1
Schliessfrüchtchen	1
Beerlein	1
Schösslein	1
Straussfederlein	1
Sträuchlein	1
Schötelein	1
Purgirlein	1
Schöttlein	1
Kreuzchen	1
Träctätlein	1
Kinderlein	1
Schweißlöchlein	1
Waldbächen	1
gelblättchen	1
Großäderlein	1
Schönchen	1
Schötlein	1
Feuerlein	1
Lavendelblümlein	1
Häflein	1
Kelchlein	1
Härlein	1
Engelein	1
Amylum-Kügelchen	1
Herzpochen	1
Ochsenzungenblümlein	1
Gesträuchen	1
Aachen	1
Glöckchen	1
Glöcklein	1
Kindelein	1
Gartennäglein	1
Atemgebrechen	1
Strünkchen	1
Centaurblümlein	1
Rebenzinklein	1
Schlafbettlein	1
Eichen	1
Rädchen	1
Därmlein	1
Kröseäderlein	1
